date,title,amount
2026-07-25,Pagamento recebido,"- 32,00"
2026-07-25,IOF de compra internacional,"0,39"
2026-07-25,Paypal *Shenduqrwea,"11,20"
2026-07-25,99food *99food,"30,71"
2026-07-21,Ebn *Crunchyroll,"24,90"
2026-07-18,Zul Regularizacao 28sk,"5,65"
2026-07-17,IOF de compra internacional,"0,72"
2026-07-17,Songsterr.Com,"20,78"
2026-07-10,Amazonprimebr,"19,90"
2026-07-10,Amazon Prime Canais,"29,90"
2026-07-07,Wellhub Gabriel Spolon,"137,50"
2026-07-04,IOF de compra internacional,"14,37"
2026-07-04,Csfloat Inc.,"410,82"
2026-07-04,Ifd*Ifood Club,"12,90"
2026-07-03,Pagamento recebido,"- 400,00"
2026-07-03,Amazon Ad Free For Pri,"10,00"
2026-07-01,Pagamento recebido,"- 1.738,89"
2026-06-30,Hot Tiger,"50,50"
2026-06-30,Minimercado Larissa e,"17,78"
2026-06-29,Posto Santa Felicia de,"31,99"
2026-06-29,Posto Santa Felicia de,"40,00"
2026-06-28,Zp*Rei dos Pasteis,"34,50"
2026-06-28,Zp*Rei dos Pasteis,"44,40"
2026-06-27,Pg *Sensetup - Parcela 12/12,"139,30"
2026-06-27,Godoy Instalacoes - Parcela 6/8,"101,25"
2026-06-27,Aufi Veiculos e Maqui - Parcela 3/6,"183,33"
2026-06-27,Soniamariadelima - Parcela 2/2,"125,00"
